iso-639-3,name,value,description,latitude,longitude,family
agr,Aguaruna,AFF,affix,-5.30044,-77.92179,Chicham
apu,Apurinã,N,no,-8.21692,-66.77141,Arawakan
arh,Arhuaco,AFF,affix,10.70184,-73.63629,Chibchan
kwi,Awa-Cuaiquer,AFF,affix,1.216525,-78.340135,Barbacoan
brg,Baure,N,no,-13.12775,-64.18381,Arawakan
boa,Bora,CLI,clitic,-2.91467,-68.90929,Boran
bor,Bororo,N,no,-16.60295,-55.20043,Bororoan
ram,Canela,N,no,-6.10712,-45.1299,Nuclear-Macro-Je
cav,Cavineña,AFF,affix,-13.35441,-66.62773,Pano-Tacanan
ayr,Central Aymara,AFF,affix,-17,-68.5,Aymaran
cbg,Chimila,N,no,10.19016,-74.25585,Chibchan
cod,Cocama-Cocamilla,CLI,clitic,-4.5,-74,Tupian
cub,Cubeo,AFF,affix,1.32382,-70.193935,Tucanoan
quz,Cusco Quechua,AFF,affix,-14.08527,-71.76625,Quechuan
des,Desano,AFF,affix,0.58157,-69.495545,Tucanoan
kwa,Dâw,AFF,affix,-0.1177,-67.29341,Nadahup
eme,Emerillon,CLI,clitic,3.23694,-52.36986,Tupian
hix,Hixkaryána,AFF,affix,-0.16265,-58.80153,Cariban
qub,Huallaga Huánuco  Quechua,AFF,affix,-9.57135,-75.59401,Quechuan
jup,Hupdë,PAR,particle,0.58622,-69.835915,Nadahup
qvi,Imbabura Highland Quichua,AFF,affix,0.31776,-78.37286,Quechuan
ito,Itonama,N,no,-12.80431,-64.35748,Itonama
jaa,Jamamadí,AFF,affix,-7.62223,-66.56619,Arawan
kgp,Kaingang,N,no,-27.76708,-52.53937,Nuclear-Macro-Je
kay,Kamayurá,N,no,-12.26606,-53.46514,Tupian
kxo,Kanoê,PAR,particle,-12.17894,-64.58121,Kanoe
ktn,Karitiâna,AFF,affix,-9.37937,-64.15219,Tupian
arr,Karo (Brazil),PAR,particle,-10.33424,-61.56908,Tupian
xwa,Kwaza,AFF,affix,-11.66666667,-61.18333333,Kwaza
lec,Leco,AFF,affix,-15.00921,-67.88181,Leko
wmd,Mamaindé,AFF,affix,-12.986439,-60.101072,Nambiquaran
arn,Mapudungun,PAR,particle,-38.73917,-71.27701,Araucanian
mcf,Matsés,AFF,affix,-5.739145,-72.628105,Pano-Tacanan
moc,Mocoví,N,no,-28.09699,-60.41448,Guaicuruan
cas,Mosetén,PAR,particle,-14.64448,-67.83756,Moseten-Chimane
mzp,Movima,PAR,particle,-13.81152,-65.63482,Movima
myr,Muniche,N,no,-5.80546,-76.28113,Muniche
yrl,Nhengatu,N,no,1.045026667,-66.96455333,Tupian
shb,Ninam,N,no,4.038935,-62.780115,Yanomamic
emp,Northern Emberá,AFF,affix,7.12761,-77.57396,Chocoan
pbh,Panare,AFF,affix,6.95035,-65.84825,Cariban
pab,Parecís,CLI,clitic,-14.59295,-57.40595,Arawakan
plg,Pilagá,N,no,-25.00585,-60.15372,Guaicuruan
pui,Puinave,AFF,affix,3.92974,-67.6886,Puinave
pbb,Páez,N,no,2.61516,-76.31254,Paez
rkb,Rikbaktsa,AFF,affix,-11.18865,-58.19424,Nuclear-Macro-Je
sae,Sabanê,AFF,affix,-12.98572,-60.33498,Nambiquaran
skf,Sakirabia,AFF,affix,-13.05395,-62.09274,Tupian
mav,Sateré-Mawé,N,no,-3.63897,-56.87489,Tupian
shp,Shipibo-Conibo,AFF,affix,-7.17105,-74.82192,Pano-Tacanan
jiv,Shuar,AFF,affix,-3.45136,-78.18923,Chicham
tpj,Tapieté,AFF,affix,-21.41688667,-62.68397,Tupian
tae,Tariana,CLI,clitic,0.440205,-68.904165,Arawakan
teh,Tehuelche,AFF,affix,-47.57963,-68.32346,Chonan
tri,Trió,AFF,affix,2.53616,-55.759935,Cariban
tpy,Trumai,PAR,particle,-11.81195,-53.5717,Trumai
cof,Tsafiki,N,no,-0.21181,-79.23468,Barbacoan
ura,Urarina,N,no,-4.44006,-75.42107,Urarina
wba,Warao,AFF,affix,7.508506667,-59.35276333,Warao
pav,Wari,CLI,clitic,-10.69948,-64.56152,Chapacuran
mtp,Wichí Lhamtés Nocten,CLI,clitic,-21.987995,-63.59711,Matacoan
yaa,Yaminahua,AFF,affix,-9.884596667,-71.59643333,Pano-Tacanan
ame,Yanesha',N,no,-10.54539,-75.31497,Arawakan
yuz,Yuracaré,N,no,-16.74788,-65.12241,Yurakare
